temp_C,substrate,ligand,OA_barrier_scenario_1,OA_barrier_scenario_2
30,3_bromoquinoline,PCy3,7.704827295150608,28.93845699215308
30,2_chloropyridine,PCy3,4.4530532620847225,29.268423500237986
30,3_chloropyridine,PCy3,10.51050307857804,35.325873316731304
30,3_bromoquinoline,PPh3,8.083936979528517,22.379370994865894
30,2_chloropyridine,PPh3,5.546570197911933,24.253490324132144
30,3_chloropyridine,PPh3,10.376785326749086,28.56073636515066
30,3_bromoquinoline,AmPhos,10.602732004132122,28.288923657033592
30,2_chloropyridine,AmPhos,7.747103866189718,31.332998988218606
30,3_chloropyridine,AmPhos,10.261573560535908,33.47973212366924
30,3_bromoquinoline,Catacxium_A,8.67967715114355,26.758462008088827
30,2_chloropyridine,Catacxium_A,8.782282864442095,34.042770026717335
30,3_chloropyridine,Catacxium_A,9.988562108017504,33.027023021597415
30,3_bromoquinoline,RuPhos,19.205538407433778,31.83505888376385
30,2_chloropyridine,RuPhos,15.535058305133134,37.820916280616075
30,3_chloropyridine,RuPhos,12.844707769807428,35.13056574482471
30,3_bromoquinoline,SPhos,8.277630547061563,25.442555291578174
30,2_chloropyridine,SPhos,11.902778218034655,29.067702962551266
30,3_chloropyridine,SPhos,11.7239764041733,28.888901149388403
30,3_bromoquinoline,tBu3,9.567799463868141,21.62117503164336
30,2_chloropyridine,tBu3,6.147649810183793,25.967271953821182
30,3_chloropyridine,tBu3,11.0365084935911,29.026706855744123
30,3_bromoquinoline,XPhos,8.167844171170145,31.072771210689098
30,2_chloropyridine,XPhos,6.959117609541863,33.1987530188635
30,3_chloropyridine,XPhos,12.253209775313735,38.49284518463537
50,3_bromoquinoline,PCy3,7.715530985966325,28.872857742011547
50,2_chloropyridine,PCy3,5.386629912303761,29.13689703051932
50,3_chloropyridine,PCy3,11.505515748634934,35.255782866850495
50,3_bromoquinoline,PPh3,8.103083359543234,22.365169134922326
50,2_chloropyridine,PPh3,5.592035913607106,24.14254087395966
50,3_chloropyridine,PPh3,10.385874866740778,28.467438515275717
50,3_bromoquinoline,AmPhos,10.605584814678878,28.16260891687125
50,2_chloropyridine,AmPhos,7.754156986018643,31.11995487753302
50,3_chloropyridine,AmPhos,10.300788760650903,33.306691413745284
50,3_bromoquinoline,Catacxium_A,8.697449170518667,26.647982377093285
50,2_chloropyridine,Catacxium_A,8.787694934289902,33.854169566649944
50,3_chloropyridine,Catacxium_A,9.990360318217427,32.84180024173111
50,3_bromoquinoline,RuPhos,19.19012848706916,31.575187312439084
50,2_chloropyridine,RuPhos,16.50725653511472,37.57057159021497
50,3_chloropyridine,RuPhos,13.734722940484062,34.79803799511865
50,3_bromoquinoline,SPhos,9.330765886697918,25.307999421842396
50,2_chloropyridine,SPhos,12.755355317611247,28.732588852290064
50,3_chloropyridine,SPhos,12.684079214464873,28.66131274914369
50,3_bromoquinoline,tBu3,9.638369203545153,21.540540421847254
50,2_chloropyridine,tBu3,6.16323757043574,25.797679473878816
50,3_chloropyridine,tBu3,11.080039293621667,28.868027335964143
50,3_bromoquinoline,XPhos,8.231321720872074,30.987978571560234
50,2_chloropyridine,XPhos,7.942253849236295,33.02383247902617
50,3_chloropyridine,XPhos,13.208319015335292,38.289897644892335
70,3_bromoquinoline,PCy3,7.72736158547923,28.80751844216138
70,2_chloropyridine,PCy3,6.319060322130099,29.005148980300874
70,3_chloropyridine,PCy3,12.4995481884107,35.185636846581474
70,3_bromoquinoline,PPh3,8.122463409323245,22.35271937493235
70,2_chloropyridine,PPh3,6.480207113549113,24.03236831421964
70,3_chloropyridine,PPh3,10.823258204618469,28.375419405288994
70,3_bromoquinoline,AmPhos,10.60997507441789,28.038970426190645
70,2_chloropyridine,AmPhos,7.762775676324964,30.9081970769912
