temp_C,substrate,boron species (BOH2),boron species (BPin),ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-38.74072521574617,-34.4562253607215,-16.08004203554064,-12.939543246978968,-4.703498014470637,-17.924136778805405,34.03722720127553,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-23.664102384576648,-26.73913205459356,-14.031111392879932,-13.51153157207936,-1.9206015008856356,-17.544524982571602,24.818530553707927,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-23.664102384576648,-35.56766369843498,-17.32125266570419,-15.258012154361307,-3.152179923595935,-20.384924069046974,32.41548377483904,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-38.94525791121468,-39.1730274380894,-21.23453685477197,-7.010991357488632,-5.349419807305634,-30.554565706755966,33.82360763078376,1M
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-21.575404898485242,-35.076832640893905,-14.42971793724045,-13.414736156107931,-6.568322125578374,-15.654544573277235,28.508510515315532,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-17.801670612523406,-32.04642122562617,-15.204878350941538,-13.222538974357843,-5.882878390362561,-15.94578947685659,26.16354283526361,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-17.801670612523406,-34.21108641286954,-16.432677419146597,-14.239075421111732,-5.101033550908864,-17.05404656380415,29.11005286196068,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-20.858988411014973,-43.291174374498574,-18.55529866203487,-14.962746510038226,-9.892165293207466,-27.855001560412347,33.39900908129111,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-21.468156127015202,-22.295200789325087,-10.988025407528578,-9.613924849534481,-1.70017712864846,-17.467249606736004,20.595023660676627,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-21.468156127015202,-26.522131720069943,-14.330074029265045,-9.956246250065117,-1.439697224868536,-17.16152434889227,25.082434495201408,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-23.190054579859673,-25.26133137613177,-15.58838441617608,-15.34045918494284,-9.715963165497481,-34.05822487361729,15.54536821063429,1M
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-18.382784971257745,-22.880822094135134,-11.874158456211983,-11.14916788250029,-3.5292330805566907,-15.877472243271768,19.351589013578444,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-20.06833870637983,-17.52614352943018,-12.122762732895165,-8.397846978379487,-3.747425586206913,-17.162268350832164,16.320913120172918,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-20.06833870637983,-19.970557982545493,-16.123940618930458,-13.344874612277447,-3.3333636999484897,-18.45950329862535,16.73497500643134,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-14.976063952071666,-30.601194309514163,-15.637468469085245,-11.887136080989688,-4.92074507776469,-33.762533728033304,25.680449231749474,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-14.002435357997268,-23.23646496606633,-13.775493515877127,-15.575833262166082,-1.2081804110091925,-21.953598062507808,22.028284555057137,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-14.002435357997268,-23.854801873188613,-17.111365455424487,-14.389547466056495,-1.54794591734007,-30.113865382038057,22.306855955848544,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,-1.4649904507566989,-29.515823736764638,-13.405483777390867,-12.575146007107644,2.4423479812796414,-25.3515012729913,31.95817171804428,1M
