temperature_C,substrate,boron_species_BOH2,boron_species_BPin,ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-36.796680215746164,-30.5681353607215,-14.13599703554064,-10.995498246978968,-2.759453014470637,-17.924136778805405,34.03722720127553,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-21.72005738457665,-22.851042054593563,-12.087066392879933,-11.56748657207936,0.023443499114364386,-17.544524982571602,22.874485553707927,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-21.72005738457665,-31.67957369843498,-15.37720766570419,-13.313967154361308,-1.208134923595935,-20.384924069046974,30.471438774839044,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-37.00121291121468,-35.2849374380894,-19.29049185477197,-5.066946357488632,-3.405374807305634,-30.554565706755966,33.595838103909045,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-19.631359898485243,-31.188742640893906,-12.485672937240452,-11.470691156107932,-4.624277125578374,-15.654544573277235,26.564465515315533,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-15.857625612523407,-28.15833122562617,-13.260833350941539,-11.278493974357843,-3.9388333903625607,-15.94578947685659,24.21949783526361,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-15.857625612523407,-30.322996412869543,-14.488632419146597,-12.295030421111733,-3.1569885509088635,-17.05404656380415,27.16600786196068,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-18.914943411014974,-39.403084374498576,-16.61125366203487,-13.018701510038227,-7.948120293207467,-27.855001560412347,31.45496408129111,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-19.524111127015203,-18.40711078932509,-9.04398040752858,-7.669879849534482,0.2438678713515401,-17.467249606736004,19.767978998366743,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-19.524111127015203,-22.634041720069945,-12.386029029265046,-8.012201250065118,0.504347775131464,-17.16152434889227,23.13838949520141,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-21.246009579859674,-21.373241376131773,-13.64433941617608,-13.396414184942842,-7.771918165497482,-34.05822487361729,13.601323210634291,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-16.438739971257746,-18.992732094135135,-9.930113456211984,-9.20512288250029,-1.5851880805566907,-15.877472243271768,17.407544013578445,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-18.12429370637983,-13.63805352943018,-10.178717732895166,-6.453801978379488,-1.803380586206913,-17.162268350832164,16.320913120172918,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-18.12429370637983,-16.082467982545495,-14.179895618930459,-11.400829612277448,-1.3893186999484897,-18.45950329862535,16.73497500643134,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-13.032018952071667,-26.713104309514165,-13.693423469085246,-9.943091080989689,-2.97670007776469,-33.762533728033304,23.736404231749475,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-12.058390357997268,-19.34837496606633,-11.831448515877128,-13.631788262166083,0.7358645889908075,-21.953598062507808,20.084239555057138,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-12.058390357997268,-19.966711873188615,-15.167320455424488,-12.445502466056496,0.39609908265993,-30.113865382038057,20.362810955848545,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,0.47905454924330115,-25.62773373676464,-11.461438777390867,-10.631101007107645,4.386392981279641,-25.3515012729913,30.01412671804428,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-14.727102649398148,,-14.020042999647558,-9.308116483036429,-0.9832371398806572,-25.08173550479114,13.74386550951749,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,7.038156313356012,0.47348395036533475,-2.983613102696836,13.957889283075929,13.665041524916887,-10.886562505736947,16.648654627613723,1bar
